The wealth of nations was written by _	Adam Smith&nbsp;	
What is economizing behavior:&nbsp;	choosing the option that offers the greatest benefit at the least cost, rule 2 of the 8 economic rules of thinking	
What is utility?	<div>Utility is the want satisfying power of any commodity or capacity of a commodity to give satisfaction.&nbsp;</div><div><br /></div><div>Utility may measure how much one enjoys a movie, or the sense of security one gets from buying a deadbolt</div>	
Rule 3?	<div>3. INCENTIVES MATTER—CHOICE IS INFLUENCED IN A PREDICTABLE WAY BY&nbsp;CHANGES IN INCENTIVES.</div>	
What is a postulate?	suggest or assume the existence, fact, or truth of (something) as a basis for reasoning, discussion, or belief.	
Rule _ is considered the postulate for all other rules:	<div><div>3. INCENTIVES MATTER—CHOICE IS INFLUENCED IN A PREDICTABLE WAY BY</div><div>CHANGES IN INCENTIVES.</div></div>	
What is rule 4?	Individuals make decisions at the margin	
<div>When making a choice between&nbsp;two alternatives, individuals generally focus on the difference in the costs and benefits</div><div>between alternatives.&nbsp;</div><div>This is rule _</div>	4	
What is marginal decision making?	<div>When making a choice between&nbsp;two alternatives, individuals generally focus on the difference in the costs and benefits</div><div>between alternatives.</div>	
What is marginal analysis?	Determing how much extra it costs to produce x units.<div><br /></div><div><div>Next time you&nbsp;find yourself asking a salesclerk “How much more is this one?” when you are choosing</div><div>between two items, you are doing a marginal analysis.</div></div>	
What is marginal cost?	The cost to produce additional units on top of what is already available/planned	
The word additional is often used as a substitute for _&nbsp;	marginal	
<div>Marginal decisions may involve large or small&nbsp;changes. The “one more unit” could be a new factory or a new stapler. It is marginal</div><div>because it involves _ and _</div>	additional costs and benefits	
What is the differnece between average cost vs marginal cost	Average cost == total cost of production / number of cars outputted<div>- total cost of production includes one time costs such as R/D</div><div><br /></div><div>Marginal cost == cost of producing additional units with additional resource</div><div>-average cost of producing a car may be 25k, but marginal cost will be ~10k</div>	
<div>When we confront a decision, the marginal benefit and marginal cost associated with&nbsp;the choice will determine our decision.</div><div>This is an example of rule _</div>	4	
Rule 5	<div>5. ALTHOUGH INFORMATION CAN HELP US MAKE BETTER CHOICES, ITS</div><div>ACQUISITION IS COSTLY.</div>	
the time needed to gather information is scarce, making it costly to acquire.<div>This is rule _</div>	5	
<div>The process is similar when individuals search for a restaurant, a new car, or a roommate.</div><div>They will seek to acquire some information, but at some point, they will decide that the</div><div>expected benefit derived from gathering still more information is simply not worth the cost.</div><div><br /></div><div>This is rule _</div>	5	
Rule 6	<div>6. BEWARE OF THE SECONDARY EFFECTS: ECONOMIC ACTIONS OFTEN GENERATE</div><div>INDIRECT AS WELL AS DIRECT EFFECTS.</div>	
What are indirect&nbsp;effects?	<div>The indirect impact of an event</div><div>or policy that may not be easily</div><div>and immediately observable. In</div><div>the area of policy, these effects</div><div>are often both unintended and</div><div>overlooked.</div>	
Indirect effects are also known as _	Secondary effects	
Rule 7	7. THE VALUE OF A GOOD OR SERVICE IS SUBJECTIVE	
<div>Alice, a ballet fan who usually would value the ticket</div><div>at more than its price of $100, is invited to a party and suddenly becomes uninterested in</div><div>attending the ballet. Now what is the ticket worth?</div><div><br /></div><div>This is an example of rule _</div>	7	
Rule 8	8. THE TEST OF A THEORY IS ITS ABILITY TO PREDICT	
What is scientific thinking?	Scientific thinking Developing a theory from basic principles and testing it against events in the real world.&nbsp;<div><br /></div><div>Good theories are consistent with and help explain real-world events. Theories that are inconsistent with the real world are invalid and must be rejected.</div>	
